text_id,en,da,nl,sv,no,el,it,de,es,fr
onboarding_to_settings,"In order for the app to personalize the feedback provided to you, we recommend that you input your personal information. Tap 'Settings' to proceed.","For at appen kan tilpasse information til dine individuelle behov, bedes du indtaste dine personlige oplysninger. Tryk på 'Indstillinger' for at fortsætte.",Druk op 'Instellingen' om de app te personaliseren.,"In order for the app to personalize the feedback provided to you, we recommend that you input your personal information. Tap 'Settings' to proceed.","For at appen skal tilpasse tilbakemeldingene du får, anbefaler vi at du legger inn den personlige informasjonen din. Trykk på 'Innstillinger' for å fortsette.","Για να σας δώσει η εφαρμονή μια πιο προσωπική αναφορά, σας συνιστούμε να εισάγετε τα προσωπικά σας δεδομένα. Επιλέξτε ""Ρυθμίσεις"" για να συνεχίσετε","Per permettere alla app di personalizzare i feedback forniti, raccomandiamo di inserire in input le tue informazioni personali. Cliccare ‘Impostazioni’ per procedere","Wenn sich die App Ihre Rückmeldungen anpassen soll, empfehlen wir, dass Sie Ihre persönliche Informationen eingeben. Drücken Sie auf dem 'Dashboard' um weiterzumachen","Para permitirle a la app personalizar el feedback proporcionado a ti, recomendamos que introduzcas tu información personal. Haz click en ""Ajustes"" para continuar. ","Pour que l'app puisse personnaliser le retour qui vous est donné, nous vous recommandons d'entrer vos informations personnelles. Appuyer sur 'Paramètres' pour continuer."
onboarding_to_dashboard,"If you do not feel like doing so, no problem, the app will use predefined values instead. Tap 'Dashboard' to proceed.",Hvis du ikke vil indtaste dine personlige oplysninger vil appen benytte foruddefinerede værdier. Tryk på 'Instrumentbræt' for at fortsætte.,"Als je daar geen behoefte aan hebt, druk dan op 'Dashboard'","If you do not feel like doing so, no problem, the app will use predefined values instead. Tap 'Dashboard' to proceed.","Hvis du ikke har lyst til å gjøre det, er det ikke noe problem, da vil appen bruke forhåndsdefinerte verdier i stedet. Trykk på 'Dashbord' for å fortsette.","Αν δεν αισθάνεστε άνετα με αυτό, κανένα πρόβλημα, η εφαρμογή θα χρησιμοποιήσει προκαθορισμένες τιμές. Επιλέξτε ""Πίνακας"" για να συνεχίσετε.","Se preferisci non fare così, non ti preoccupare, la app utilizzerà i valori predefiniti. Selezionare ‘Dashboard’ per continuare","Wenn das Ihnen nicht gefällt, ist es kein Problem, da die App stattdessen vorher definierten Werte verwendet. Drücken Sie auf dem 'Dashboard' um weiterzumachen.","Si prefieres no proveer tu información personal, no te preocupes, la app utilizará valores predeterminados. Haz click en ""Tablero"" para continuar.","Si vous ne voulez pas le faire, pas de problème, l'app utilisera des valeurs prédéfinies à la place. Appuyer sur 'Tableau de bord' pour continuer."
about_read_more,"Read more on the official website: <a href=""http://www.jpi-climate.eu/nl/25223441-ClimApp.html"">http://www.jpi-climate.eu/nl/</a>.","Læs mere på den officielle hjemmeside: <a href=""http://www.jpi-climate.eu/nl/25223441-ClimApp.html"">http://www.jpi-climate.eu/nl/</a>.","Lees meer op de officiele website <a href=""http://www.jpi-climate.eu/nl/25223441-ClimApp.html"">http://www.jpi-climate.eu/nl/</a>.","Read more on the official website: <a href=""http://www.jpi-climate.eu/nl/25223441-ClimApp.html"">http://www.jpi-climate.eu/nl/</a>.","Les mer på det offisielle nettstedet: <a href=""http://www.jpi-climate.eu/nl/25223441-ClimApp.html"">http://www.jpi-climate.eu/nl/</a>.","Διαβάστε περισσότερα στην επίσημη ιστοσελίδα: <a href=""http://www.jpi-climate.eu/nl/25223441-ClimApp.html"">http://www.jpi-climate.eu/nl/</a>.","Maggiori informazioni sul sito ufficiale: <a href=""http://www.jpi-climate.eu/nl/25223441-ClimApp.html"">http://www.jpi-climate.eu/nl/</a>.","Erfahren Sie mehr auf dem offiziellen Homepage:  <a href=""http://www.jpi-climate.eu/nl/25223441-ClimApp.html"">http://www.jpi-climate.eu/nl/</a>.","Para mayor información, visita el sitio web oficial: <a href=""http://www.jpi-climate.eu/nl/25223441-ClimApp.html"">http://www.jpi-climate.eu/nl/</a>","En savoir plus sur le site internet : <a href=""http://www.jpi-climate.eu/nl/25223441-ClimApp.html"">http://www.jpi-climate.eu/nl/</a>."
about_acknowledge_flaticon,"Activity level icons made by <a href=""http://www.freepik.com/"">Freepik</a> on the webpage <a href=""www.flaticon.com"">Flaticon</a>","Ikoner for aktiviteter lavet af <a href=""http://www.freepik.com/"">Freepik</a> hentet fra hjemmesiden <a href=""www.flaticon.com"">Flaticon</a>","Activity level icons made by <a href=""http://www.freepik.com/"">Freepik</a> on the webpage <a href=""www.flaticon.com"">Flaticon</a>","Activity level icons made by <a href=""http://www.freepik.com/"">Freepik</a> on the webpage <a href=""www.flaticon.com"">Flaticon</a>","Ikoner for aktivitetsnivå laget av <a href=""http://www.freepik.com/""> Freepik </a> hentet fra hjemmesiden <a href=""www.flaticon.com""> Flaticon </a>","Τα εικονίδια για το επίπεδο της δραστηριότητας φτιάχτηκαν από <a href=""http://www.freepik.com/"">Freepik</a> from <a href=""www.flaticon.com"">Flaticon</a>","Le icone per i livelli di attività sono state create da <a href=""http://www.freepik.com/"">Freepik</a> e sono presenti sulla pagina web <a href=""www.flaticon.com"">Flaticon</a>","Die Ikone der Aktivitätsniveau wurden von der folgenden hergestellt: <a href=""http://www.freepik.com/""> Freepik </a> fra <a href=""www.flaticon.com""> Flaticon </a>","Íconos de nivel de actividad hechos por <a href=""http://www.freepik.com/"">Freepik</a> on the webpage <a href=""www.flaticon.com"">Flaticon</a>","Icônes de niveau d'activité réalisées par <a href=""http://www.freepik.com/"">Freepik</a> from <a href=""www.flaticon.com"">Flaticon</a>"
about_acknowledge_fontawesome,"Weather and navigation bar icons from <a href=""https://fontawesome.com/"">FontAwesome</a>","Vejr- og navigationsikoner fra <a href=""https://fontawesome.com/"">FontAwesome</a>.","Weather and navigation bar icons from <a href=""https://fontawesome.com/"">FontAwesome</a>","Weather and navigation bar icons from <a href=""https://fontawesome.com/"">FontAwesome</a>","Vær- og navigasjonsfeltikoner fra <a href=""https://fontawesome.com/""> FontAwesome </a>",Τα εικονίδια του καιρού και της μπάρας προήγησης από,"Icone barre meteo e di navigazione da <a href=""https://fontawesome.com/"">FontAwesome</a>","Wetter- und Navigationsikone von: <a href=""https://fontawesome.com/""> FontAwesome </a>","Íconos del clima y barra de navegación por <a href=""https://fontawesome.com/"">FontAwesome</a>","Icônes de météo et barre de navigation par <a href=""https://fontawesome.com/"">FontAwesome</a>"
about_acknowledge_human_heat_exchange,"Universal Thermal Climate Index data are calculated with the <a href=""https://www.humanheat.exchange/index.php"">Human Heat Exchange API</a>","Universal Thermal Climate Index data are calculated with the <a href=""https://www.humanheat.exchange/index.php"">Human Heat Exchange API</a>","Universal Thermal Climate Index data are calculated with the <a href=""https://www.humanheat.exchange/index.php"">Human Heat Exchange API</a>","Universal Thermal Climate Index data are calculated with the <a href=""https://www.humanheat.exchange/index.php"">Human Heat Exchange API</a>","Universal Thermal Climate Index data are calculated with the <a href=""https://www.humanheat.exchange/index.php"">Human Heat Exchange API</a>","Universal Thermal Climate Index data are calculated with the <a href=""https://www.humanheat.exchange/index.php"">Human Heat Exchange API</a>","Universal Thermal Climate Index data are calculated with the <a href=""https://www.humanheat.exchange/index.php"">Human Heat Exchange API</a>","Universal Thermal Climate Index data are calculated with the <a href=""https://www.humanheat.exchange/index.php"">Human Heat Exchange API</a>","Universal Thermal Climate Index data are calculated with the <a href=""https://www.humanheat.exchange/index.php"">Human Heat Exchange API</a>","Universal Thermal Climate Index data are calculated with the <a href=""https://www.humanheat.exchange/index.php"">Human Heat Exchange API</a>"
about_acknowledge_openweathermap,"Weather data is obtained from <a href=""https://www.openweathermap.org"">openweathermap.org</a>","Weather data is obtained from <a href=""https://www.openweathermap.org"">openweathermap.org</a>","Weather data is obtained from <a href=""https://www.openweathermap.org"">openweathermap.org</a>","Weather data is obtained from <a href=""https://www.openweathermap.org"">openweathermap.org</a>","Weather data is obtained from <a href=""https://www.openweathermap.org"">openweathermap.org</a>","Weather data is obtained from <a href=""https://www.openweathermap.org"">openweathermap.org</a>","Weather data is obtained from <a href=""https://www.openweathermap.org"">openweathermap.org</a>","Weather data is obtained from <a href=""https://www.openweathermap.org"">openweathermap.org</a>","Weather data is obtained from <a href=""https://www.openweathermap.org"">openweathermap.org</a>","Weather data is obtained from <a href=""https://www.openweathermap.org"">openweathermap.org</a>"
about_josh_foster,Dr. Josh Foster helped us out with the decision tree when ventilator use is beneficial in warm conditions,Dr. Josh Foster helped us out with the decision tree when ventilator use was beneficial in warm conditions,Dr. Josh Foster helped us out with the decision tree when ventilator use was beneficial in warm conditions,Dr. Josh Foster helped us out with the decision tree when ventilator use was beneficial in warm conditions,Dr. Josh Foster helped us out with the decision tree when ventilator use was beneficial in warm conditions,Dr. Josh Foster helped us out with the decision tree when ventilator use was beneficial in warm conditions,Dr. Josh Foster helped us out with the decision tree when ventilator use was beneficial in warm conditions,Dr. Josh Foster helped us out with the decision tree when ventilator use was beneficial in warm conditions,Dr. Josh Foster helped us out with the decision tree when ventilator use was beneficial in warm conditions,Dr. Josh Foster helped us out with the decision tree when ventilator use was beneficial in warm conditions
about_nick_ravanelli,Dr. Nicholas Ravanelli helped us out with providing access to the Human Heat Exchange API,Dr. Nicholas Ravanelli helped us out with providing access to the Human Heat Exchange API,Dr. Nicholas Ravanelli helped us out with providing access to the Human Heat Exchange API,Dr. Nicholas Ravanelli helped us out with providing access to the Human Heat Exchange API,Dr. Nicholas Ravanelli helped us out with providing access to the Human Heat Exchange API,Dr. Nicholas Ravanelli helped us out with providing access to the Human Heat Exchange API,Dr. Nicholas Ravanelli helped us out with providing access to the Human Heat Exchange API,Dr. Nicholas Ravanelli helped us out with providing access to the Human Heat Exchange API,Dr. Nicholas Ravanelli helped us out with providing access to the Human Heat Exchange API,Dr. Nicholas Ravanelli helped us out with providing access to the Human Heat Exchange API
about_climapp_team,"The entire app is made possible by all contributions by the ClimApp Team
","The entire app is made possible by all contributions by the ClimApp Team
","The entire app is made possible by all contributions by the ClimApp Team
","The entire app is made possible by all contributions by the ClimApp Team
","The entire app is made possible by all contributions by the ClimApp Team
","The entire app is made possible by all contributions by the ClimApp Team
","The entire app is made possible by all contributions by the ClimApp Team
","The entire app is made possible by all contributions by the ClimApp Team
","The entire app is made possible by all contributions by the ClimApp Team
","The entire app is made possible by all contributions by the ClimApp Team
"
